id,city_center_distances,sea_distances
670168_101hotels,"{""22"": 1.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 518, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1430, ""auto_manual"": 1}}"
666214_101hotels,"{""22"": 4.2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1616, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 3750, ""auto_manual"": 1}}"
667678_101hotels,"{""22"": 2.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2192, ""auto_manual"": 0}}"
650983_101hotels,"{""22"": 0.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 696, ""auto_manual"": 0}}"
655145_101hotels,"{""22"": 2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 836, ""auto_manual"": 0}, ""1263"": {""name"": ""Иркутское водохранилище"", ""genitive"": ""Иркутского водохранилища"", ""distance"": 1000, ""auto_manual"": 1}}"
655207_101hotels,"{""22"": 2.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1268, ""auto_manual"": 0}}"
665413_101hotels,"{""22"": 2.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 917, ""auto_manual"": 0}}"
668236_101hotels,"{""22"": 26.3, ""9996"": 9.4}","{""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1300, ""auto_manual"": 1}}"
669053_101hotels,"{""22"": 1.9}","{""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 118, ""auto_manual"": 1}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 185, ""auto_manual"": 0}}"
658204_101hotels,"{""22"": 0.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 465, ""auto_manual"": 0}}"
666215_101hotels,"{""22"": 4.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1520, ""auto_manual"": 1}, ""981575360"": {""name"": ""Река Ушаковка"", ""genitive"": ""реки Ушаковка"", ""distance"": 2600, ""auto_manual"": 1}}"
667608_101hotels,"{""22"": 4.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3989, ""auto_manual"": 0}}"
669838_101hotels,"{""22"": 2.5}","{""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1000, ""auto_manual"": 1}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1129, ""auto_manual"": 0}}"
653874_101hotels,"{""22"": 2.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 844, ""auto_manual"": 0}}"
